Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
ConfigLoader,RefactorScope,Infra,0,Coerente,1,0,0,0
ConfigValidator,RefactorScope,Infra,0,Coerente,1,0,0,0
CrashLogger,RefactorScope,Infra,0,Coerente,1,0,0,0
LayerRuleEvaluator,RefactorScope,Infra,3,Coerente,0,0,0,0
TerminalRenderer,RefactorScope,Infra,0,Coerente,1,0,0,0
