Metric,Module,Type,AbsoluteValue,ContributionWithinModule
Coupling,Parsers,ClassComplexityClassifier,2,0,02
Coupling,Parsers,ClassComplexityScanResult,0,0,00
Coupling,Parsers,CSharpPreParser,1,0,01
Coupling,Parsers,CSharpRegexParser,21,0,22
Coupling,Parsers,HigienizadorLexico,9,0,09
Coupling,Parsers,CSharpTextualParser,24,0,25
Coupling,Parsers,HybridParser,8,0,08
Coupling,Parsers,RegexLocalRecovery,3,0,03
Coupling,Parsers,HybridAdaptiveParser,8,0,08
Coupling,Parsers,HybridIncrementalParser,8,0,08
Coupling,Parsers,HybridSelectiveParser,8,0,08
Coupling,Parsers,ModeloMerger,4,0,04
Coupling,Statistics,ValidationEngine,6,0,86
Coupling,Statistics,ParsingConfidence,0,0,00
Coupling,Statistics,MetricsStatisticsSummary,0,0,00
Coupling,Statistics,StatisticsReport,1,0,14
