Metric,Module,AbsoluteValue,ContributionWithinScope
Coupling,Analyzers,64,0,24
Coupling,CLI,0,0,00
Coupling,Debug,0,0,00
Coupling,Estimation,6,0,02
Coupling,Exporters,116,0,43
Coupling,Infrastructure,6,0,02
Coupling,Core,8,0,03
Coupling,Execution,20,0,07
Coupling,Parsers,45,0,17
Coupling,Statistics,4,0,01
