Metric,Module,AbsoluteValue,ContributionWithinScope
Coupling,Analyzers,90,0,27
Coupling,CLI,0,0,00
Coupling,Debug,0,0,00
Coupling,Estimation,10,0,03
Coupling,Exporters,73,0,22
Coupling,Infrastructure,7,0,02
Coupling,Core,20,0,06
Coupling,Execution,25,0,08
Coupling,Parsers,96,0,29
Coupling,Statistics,7,0,02
