Metric,Module,AbsoluteValue,ContributionWithinScope
Coupling,Program.cs,16,0,07
Coupling,Fingerprint,56,0,24
Coupling,Infrastructure,95,0,40
Coupling,Nucleo,34,0,14
Coupling,Limbic,36,0,15
